UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
839,M10838,H,296.76,308.39,1502,62.59,100,1,Power Failure
840,L10839,L,299.29,308.04,1365,33.36,79,0,No Failure
841,M10840,H,297.51,308.3,1658,37.86,93,0,No Failure
842,L10841,M,296.04,307.92,2066,28.23,230,1,Tool Wear Failure
843,H10842,L,295.64,304.34,1902,59.51,101,0,No Failure
844,M10843,L,299.9,308.71,2046,57.08,185,0,No Failure
845,M10844,L,297.84,308.61,1428,54.87,39,0,No Failure
846,L10845,L,300.29,311.41,1930,22.58,133,0,No Failure
847,M10846,M,299.4,309.36,2119,45.05,123,1,Power Failure
848,L10847,H,297.46,307.9,1481,30.58,148,0,No Failure
849,L10848,L,297.24,306.09,1891,25.39,170,0,No Failure
850,M10849,L,298.09,308,1601,55.17,215,1,Tool Wear Failure
851,M10850,H,300.33,308.78,1490,29.52,57,0,No Failure
852,L10851,L,299.42,308.71,2170,42.54,95,1,Power Failure
853,M10852,L,295.03,304.17,1549,43.67,14,0,No Failure
854,L10853,M,299.16,308.94,1308,29.6,156,0,No Failure
855,H10854,H,300.52,312.24,1589,42.15,234,1,Tool Wear Failure
856,L10855,H,299.26,307.99,1648,22.38,99,0,No Failure
857,H10856,H,296.06,305.67,1952,20,243,1,Tool Wear Failure
858,L10857,L,297.9,308.36,2150,59.61,149,1,Power Failure
859,H10858,H,295.84,307.63,2017,38.7,53,0,No Failure
860,L10859,M,297.15,305.69,2131,60.83,132,0,No Failure
861,H10860,M,300.62,312.29,1675,42.33,160,0,No Failure
862,L10861,M,300.54,308.86,1919,39.4,167,0,No Failure
863,H10862,L,296.7,306.62,1509,33.32,160,1,Power Failure
864,M10863,H,297.04,306.86,1270,23.68,47,0,No Failure
865,H10864,L,298.6,307.44,1565,33.94,52,0,No Failure
866,H10865,L,300.78,310.17,1898,47.38,60,0,No Failure
867,H10866,H,295.89,305.7,1475,54.33,183,0,No Failure
868,L10867,L,296.54,308,2061,44.34,125,0,No Failure
869,M10868,H,300.24,312.06,1991,54.12,168,0,No Failure
870,M10869,M,297.95,308.03,1394,27.1,200,0,No Failure
871,L10870,M,300.39,311.87,1531,46.25,141,0,No Failure
872,H10871,L,296.11,306.55,2025,59.72,118,0,No Failure
873,L10872,M,298.2,307.59,1444,29.81,101,0,No Failure
874,H10873,H,296.96,305.73,1532,30.25,134,0,No Failure
875,M10874,M,296.9,306.55,1543,53.68,37,0,No Failure
876,M10875,H,297.68,307.77,2001,56.54,197,0,No Failure
877,L10876,M,297.6,305.78,1237,31.16,228,1,Tool Wear Failure
878,L10877,M,297.14,305.73,1274,34.92,203,1,Tool Wear Failure
879,L10878,M,300.49,310.89,1778,48.43,205,1,Tool Wear Failure
880,L10879,H,299.39,308.29,1597,37.93,207,1,Tool Wear Failure
881,H10880,M,299.37,310.71,1833,48.08,44,0,No Failure
882,L10881,L,296.74,306.05,1466,42.34,249,1,Tool Wear Failure
883,H10882,M,298.47,306.89,2110,54.81,164,0,No Failure
884,L10883,L,299.68,308.01,1961,58.06,105,0,No Failure
885,H10884,L,299.77,311.52,1268,58.87,222,1,Overstrain Failure
886,H10885,L,297.07,305.54,1984,47.52,146,1,Overstrain Failure
887,L10886,M,299.63,308.19,2170,47.57,248,1,Tool Wear Failure
888,L10887,M,299.42,310.87,2142,40.23,188,1,Power Failure
889,M10888,H,295.85,304.87,1935,21.24,92,1,Tool Wear Failure
890,L10889,H,300.2,310.86,1324,33.46,186,0,No Failure
891,L10890,L,297.65,308.91,1776,22.87,183,0,No Failure
892,H10891,L,297.92,308.35,1484,39.7,78,0,No Failure
893,H10892,M,297.69,309.52,2170,58.23,221,1,Tool Wear Failure
894,L10893,L,298.41,309.24,1917,46.86,35,0,No Failure
895,H10894,H,298.73,307.18,1811,50.4,91,0,No Failure
896,M10895,L,297.99,308.22,1895,28.46,159,0,No Failure
897,H10896,L,300.2,311.07,1638,31.79,120,0,No Failure
898,H10897,M,298.77,309.97,1573,27.34,170,0,No Failure
899,M10898,L,297.41,305.51,2136,57.92,249,1,Tool Wear Failure
900,M10899,M,297.5,308.38,1532,32.61,19,0,No Failure
901,M10900,H,299.87,311.17,1241,45.3,190,0,No Failure
902,L10901,L,297.09,308.08,1601,26.35,204,1,Tool Wear Failure
903,H10902,H,296.27,306.32,1990,25.58,71,0,No Failure
904,M10903,M,295.36,305.19,1848,35.64,64,0,No Failure
905,L10904,H,300.26,310.45,2162,34.87,110,1,Power Failure
906,M10905,L,300.51,311.33,1306,34.8,98,0,No Failure
907,M10906,M,295.72,307.41,2112,47.04,127,0,No Failure
908,M10907,L,297.01,307.47,1569,34.22,53,0,No Failure
909,M10908,H,296.05,307.6,1674,54.59,123,1,Power Failure
910,L10909,M,295.7,306.5,1628,24.08,203,1,Tool Wear Failure
911,L10910,L,300.4,308.67,1316,34.62,221,1,Tool Wear Failure
912,M10911,H,295.34,305.34,1448,50.11,167,0,No Failure
913,M10912,H,300.88,310.03,1942,47.13,72,0,No Failure
914,M10913,M,295.58,304.72,1223,25.38,218,1,Tool Wear Failure
915,H10914,M,300.18,309.6,1334,39.78,105,0,No Failure
916,M10915,L,298.4,307.66,1225,33.91,58,0,No Failure
917,M10916,L,297.21,307.52,2057,48.43,34,0,No Failure
918,H10917,M,297.05,307.79,1817,25.84,240,1,Tool Wear Failure
919,H10918,M,299.54,308.62,1370,50.18,22,0,No Failure
920,M10919,M,296.89,305.41,1969,40.87,132,0,No Failure
921,H10920,L,298.94,307.18,2167,32.37,51,1,Power Failure
922,H10921,H,298.1,308.41,2135,53.63,217,1,Tool Wear Failure
923,H10922,M,297.91,306.65,2122,28.46,49,0,No Failure
924,L10923,M,300.41,308.44,1208,26.85,184,0,No Failure
925,H10924,M,298.33,310.04,1789,20.69,41,0,No Failure
926,L10925,H,299.96,310.11,1457,58.76,235,1,Tool Wear Failure
927,L10926,H,299.35,307.72,1765,42.16,166,0,No Failure
928,L10927,H,295.23,306.6,1518,43.25,104,0,No Failure
929,L10928,L,299.64,311.57,1354,25.16,241,1,Tool Wear Failure
930,L10929,L,296.3,306.1,1644,24.85,131,0,No Failure
931,H10930,H,300.42,308.59,1695,35.02,96,0,No Failure
932,H10931,H,295.26,303.73,2190,43.23,41,1,Power Failure
933,H10932,M,297,306.53,1242,51.54,180,0,No Failure
934,H10933,L,295.6,307.14,1501,42.47,149,0,No Failure
935,H10934,M,297.85,306.45,2052,57.42,56,0,No Failure
936,H10935,M,299.92,311.22,1860,36.98,62,0,No Failure
937,L10936,M,296.79,304.85,2027,21.26,55,0,No Failure
938,H10937,L,295.91,305.74,1860,39.18,124,0,No Failure
939,H10938,H,296.98,307.56,1960,23.83,12,0,No Failure
940,M10939,L,299.88,308.12,1693,34.49,72,1,Overstrain Failure
941,L10940,H,295.84,306.3,1405,64.33,184,1,Power Failure
942,M10941,M,296.36,308.14,2010,58.58,155,0,No Failure
943,M10942,L,295.41,304.05,1768,30.64,205,1,Tool Wear Failure
944,L10943,M,299.23,310.15,1340,36.92,186,0,No Failure
945,L10944,H,297.37,307.81,2005,39.4,5,0,No Failure
946,L10945,H,296.87,305.61,2159,54.37,142,1,Power Failure
947,L10946,M,299.31,307.34,1546,21.51,110,0,No Failure
948,M10947,M,297.02,305.05,1494,21.74,90,0,No Failure
949,M10948,M,299.37,309.49,1282,25.27,248,1,Tool Wear Failure
950,L10949,H,299.89,311.66,1864,48.27,164,0,No Failure
951,M10950,H,296.31,306.88,2159,38.65,63,1,Power Failure
952,H10951,H,300.84,311.7,1336,58.2,133,1,Overstrain Failure
953,L10952,M,295.97,305.95,1685,32.78,24,0,No Failure
954,H10953,H,296.75,307.07,1298,42.02,186,0,No Failure
955,H10954,L,296.08,304.58,1234,51.81,87,0,No Failure
956,H10955,L,297.07,308.58,1865,44.53,42,0,No Failure
957,H10956,M,297.88,308.92,2068,34.26,41,0,No Failure
958,H10957,L,298.13,310.13,1538,26.86,4,0,No Failure
959,L10958,H,300.12,309.31,2076,44.33,194,0,No Failure
960,H10959,L,300.34,309.24,1317,26.4,182,1,Power Failure
961,L10960,H,296.32,304.82,1438,62.27,121,1,Power Failure
962,M10961,M,298.74,310.59,2102,44.3,76,1,Power Failure
963,M10962,M,295.67,306.79,1709,27.87,98,0,No Failure
964,H10963,L,297.75,306.42,1808,52.43,221,1,Tool Wear Failure
965,M10964,M,296.93,307.14,1238,24.66,30,0,No Failure
966,L10965,M,296.9,306.55,1328,54.72,7,0,No Failure
967,L10966,L,297.9,306.5,1256,40.58,54,0,No Failure
968,H10967,L,299.38,308.03,2105,25.97,130,1,Power Failure
969,M10968,L,295.42,307.27,1335,21.67,2,0,No Failure
970,H10969,M,300.28,309.49,2050,64.7,26,1,Power Failure
971,M10970,H,299.41,311.17,1551,32.35,174,0,No Failure
972,H10971,H,296.06,304.36,2001,62.85,112,1,Power Failure
973,M10972,H,300.63,310.48,1565,42.58,237,1,Tool Wear Failure
974,L10973,M,298.04,306.56,1468,42.64,228,1,Tool Wear Failure
975,H10974,L,301,309.02,1294,24.1,69,0,No Failure
976,H10975,L,296.18,306.4,1481,62.78,94,0,No Failure
977,M10976,H,298.21,306.67,1671,52.98,230,1,Tool Wear Failure
978,H10977,M,296.74,307.63,2018,43.34,145,0,No Failure
979,M10978,L,296.83,307.62,1653,25.41,92,0,No Failure
980,H10979,M,298.55,307.25,2171,27.91,200,1,Tool Wear Failure
981,H10980,L,300.53,312.3,1742,39.45,231,1,Tool Wear Failure
982,H10981,H,299.83,310.72,1225,36.3,168,0,No Failure
983,M10982,M,299.34,308.54,1615,45.12,58,0,No Failure
984,L10983,H,298.36,309.19,1889,23.44,205,1,Tool Wear Failure
985,M10984,H,300.53,311.46,1434,21.82,105,0,No Failure
986,L10985,L,297.95,307.32,1899,43,175,0,No Failure
987,H10986,L,300.24,309.75,1704,21.28,122,0,No Failure
988,M10987,M,300,309.44,1226,22.68,235,1,Tool Wear Failure
989,M10988,H,296.28,306.75,1974,36.94,17,0,No Failure
990,M10989,L,299.63,311.23,1760,22.78,39,0,No Failure
991,L10990,L,295.07,303.77,1282,37.35,49,0,No Failure
992,L10991,L,296.94,308.44,1675,30.88,55,1,Overstrain Failure
993,H10992,H,296.38,304.49,1487,28.45,59,0,No Failure
994,H10993,M,298.04,308.68,2080,38.21,38,0,No Failure
995,M10994,L,299.42,309.08,1485,25.4,173,0,No Failure
996,L10995,L,295.59,306.75,2142,35.73,55,1,Power Failure
997,M10996,H,298.09,308.97,1746,39.57,59,0,No Failure
998,H10997,L,300.63,310.55,1524,57.35,49,0,No Failure
999,M10998,H,296.37,306.95,2014,61.98,100,1,Power Failure
1000,M10999,M,299.06,309.07,1897,33.88,240,1,Tool Wear Failure
